category,question,optionA,optionB,optionC,optionD,correct,funFact
GROK GAMES,Em que ano a Grok Games foi fundada?,2014,2018,2021,,B,"A Grok Games nasceu em 2018, da união de duas editoras brasileiras em ascensão: a Mandala Jogos e a Ludofy Creative."
GROK GAMES,Qual é o lema da Grok Games?,Todo mundo se diverte!,A mesa é nossa,"Jogue mais, viva melhor",,A,"""Todo mundo se diverte!"" (em inglês, ""Fun for Everyone"") resume a missão da Grok: criar momentos inesquecíveis ao redor da mesa."
GROK GAMES,A Grok Games surgiu da fusão de quais duas editoras?,Devir e Galápagos,Mandala Jogos e Ludofy Creative,Conclave e PaperGames,,B,Mandala Jogos e Ludofy Creative se uniram em 2018 e viraram as linhas editoriais da Grok: Mandala (família) e Ludofy (estratégia).
GROK GAMES,Em qual cidade fica a sede da Grok Games?,São Paulo,Rio de Janeiro,Belo Horizonte,,A,"A Grok Games é uma das principais editoras de jogos de tabuleiro do Brasil, sediada em São Paulo."
GROK GAMES,Qual linha editorial da Grok é focada em jogos de estratégia?,Mandala,Ludofy,Grok Prime,,B,"A linha Ludofy é voltada à estratégia, enquanto a Mandala foca em experiências familiares — duas faces da mesma editora."
GROK GAMES,Qual linha editorial da Grok é voltada ao público familiar?,Ludofy,Mandala,Carrara,,B,"A Mandala Jogos é a linha família da Grok, com jogos acessíveis para jogar com todo mundo."
GROK GAMES,A Grok Games tem alguma relação com a IA chamada 'Grok'?,"Não, nenhuma",É a divisão de jogos da IA,São empresas parceiras,,A,"Nenhuma! Como a editora brinca: seus algoritmos são cartas e dados, seus modelos são os cérebros dos jogadores, e a saída é sempre diversão na mesa."
GROK GAMES,Quantos valores a Grok Games destaca em sua marca?,Três,Quatro,Cinco,,B,"São quatro valores: Diversão, Qualidade, Comunidade e Paixão."
GROK GAMES,Qual destes jogos de blefe e dedução é publicado pela Grok Games?,Coup,Wingspan,Catan,,A,"Coup, de Rikki Tahta, é um jogo de blefe ambientado num universo de intriga — um clássico rápido do catálogo da Grok."
GROK GAMES,Qual jogo de tabuleiro é baseado no famoso videogame roguelike de construção de baralho?,Slay the Spire: The Board Game,Hades: O Jogo,Dead Cells,,A,"Slay the Spire: The Board Game adapta o sucesso do estúdio Mega Crit para a mesa, mantendo a construção de baralho a cada subida da torre."
GROK GAMES,Qual é o jogo autoral mais conhecido associado à Grok Games?,Cartographers,Azul,Wingspan,,A,"Cartographers é o grande título de destaque, indicado ao Kennerspiel des Jahres de 2020."
CARTOGRAPHERS,Quem é o designer brasileiro de Cartographers?,Rob Daviau,Jordy Adan,Reiner Knizia,,B,"O brasileiro Jordy Adan criou Cartographers, mostrando ao mundo a força do design nacional de jogos."
CARTOGRAPHERS,A qual prêmio Cartographers foi indicado em 2020?,Spiel des Jahres,Kennerspiel des Jahres,Origins Award,,B,"Cartographers foi indicado ao Kennerspiel des Jahres 2020, o 'Oscar' dos jogos para jogadores experientes."
CARTOGRAPHERS,Qual é a principal mecânica de Cartographers?,Desenhar mapas (flip-and-write),Construção de baralho,Leilão,,A,"Em Cartographers, todos desenham seus próprios mapas em fichas conforme as cartas são reveladas — um 'flip-and-write' de exploração."
DESIGNERS,"Quem criou Azul, vencedor do Spiel des Jahres de 2018?",Michael Kiesling,Uwe Rosenberg,Stefan Feld,,A,"Azul, de Michael Kiesling, foi inspirado nos azulejos portugueses e deu origem a uma série inteira de jogos abstratos premiados."
DESIGNERS,Quem é a designer de Wingspan?,Elizabeth Hargrave,Jamey Stegmaier,Inka Brand,,A,"Elizabeth Hargrave uniu sua paixão por aves a um jogo de motor elegante, levando Wingspan ao Kennerspiel des Jahres de 2019."
DESIGNERS,"Quem projetou Pandemic, lançado em 2008?",Matt Leacock,Antoine Bauza,Vlaada Chvátil,,A,"Matt Leacock popularizou o jogo cooperativo moderno com Pandemic, em que os jogadores combatem doenças juntos contra o tabuleiro."
DESIGNERS,"Quem criou Dominion, o jogo que originou o gênero deck-building?",Donald X. Vaccarino,Richard Garfield,Martin Wallace,,A,"Dominion (2008), de Donald X. Vaccarino, criou a construção de baralho e levou o Spiel des Jahres de 2009."
DESIGNERS,"Quem projetou Catan, um dos jogos que popularizou o hobby moderno?",Klaus Teuber,Klaus-Jürgen Wrede,Alan R. Moon,,A,Klaus Teuber lançou Catan em 1995; o jogo de troca e construção vendeu dezenas de milhões de cópias pelo mundo.
DESIGNERS,Quem é o autor de Carcassonne?,Klaus-Jürgen Wrede,Bruno Cathala,Reiner Knizia,,A,"Carcassonne, de Klaus-Jürgen Wrede, venceu o Spiel des Jahres de 2001 e consagrou a colocação de peças com meeples."
DESIGNERS,Quem projetou 7 Wonders?,Antoine Bauza,Marc André,Phil Walker-Harding,,A,Antoine Bauza usou o draft simultâneo de cartas em 7 Wonders para acomodar muitos jogadores sem tempo de espera.
DESIGNERS,Quem criou Ticket to Ride?,Alan R. Moon,Klaus Teuber,Uwe Rosenberg,,A,"Ticket to Ride, de Alan R. Moon, venceu o Spiel des Jahres de 2004 e virou porta de entrada para milhões de novos jogadores."
DESIGNERS,Quem é conhecido por jogos agrícolas como Agricola e A Feast for Odin?,Uwe Rosenberg,Stefan Feld,Vital Lacerda,,A,"Uwe Rosenberg é mestre dos Euros de colheita e colocação de trabalhadores, com clássicos como Agricola, Caverna e Patchwork."
